SL No,Name,Launch Date,Launch Vehicle,Orbit Type,Application,Remarks
92,IRNSS-1H,2017-08-31,PSLV-C39/IRNSS-1H Mission,No Data,Navigation,Launch unsuccessful
93,Cartosat-2 Series Satellite,2018-01-12,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
94,Microsat,2018-01-12,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
95,INS-1C,2018-01-12,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
96,GSAT-6A,2018-03-29,GSLV-F08/GSAT-6A Mission,GSO (Geosynchronous Orbit),Communication,Launch successful
97,IRNSS-1I,2018-04-12,PSLV-C41/IRNSS-1I,GSO (Geosynchronous Orbit),Navigation,Launch successful
98,GSAT-29,2018-11-14,GSLV Mk III-D2 / GSAT-29 Mission,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
99,HysIS,2018-11-29,PSLV-C43 / HysIS Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
100,GSAT-11 Mission,2018-12-05,Ariane-5 VA-246,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
101,GSAT-7A,2018-12-19,GSLV-F11 / GSAT-7A Mission,No Data,Communication,Launch successful
102,Microsat-R,2019-01-24,PSLV-C44,SSPO (Sun Synchronous Polar Orbit),No Data,Launch successful
103,GSAT-31,2019-02-06,Ariane-5 VA-247,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
104,EMISAT,2019-04-01,PSLV-C45/EMISAT MISSION,SSPO (Sun Synchronous Polar Orbit),No Data,Launch successful
105,RISAT-2B,2019-05-22,PSLV-C46 Mission,LEO (Low Earth Orbit),Disaster Management System,Launch successful
105,RISAT-2B,2019-05-22,PSLV-C46 Mission,LEO (Low Earth Orbit),Earth Observation,Launch successful
106,Chandrayaan2,2019-07-22,GSLV-Mk III - M1 / Chandrayaan-2 Mission,Lunar,Planetary Observation,Launch successful
107,Cartosat-3,2019-11-27,PSLV-C47 / Cartosat-3 Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
108,RISAT-2BR1,2019-12-11,PSLV-C48/RISAT-2BR1,LEO (Low Earth Orbit),Disaster Management System,Launch successful
108,RISAT-2BR1,2019-12-11,PSLV-C48/RISAT-2BR1,LEO (Low Earth Orbit),Earth Observation,Launch successful
109,GSAT-30,2020-01-17,Ariane-5 VA-251,GSO (Geosynchronous Orbit),Communication,Launch successful
110,EOS-01,2020-11-07,PSLV-C49/EOS-01,LEO (Low Earth Orbit),Disaster Management System,Launch successful
110,EOS-01,2020-11-07,PSLV-C49/EOS-01,LEO (Low Earth Orbit),Earth Observation,Launch successful
111,CMS-01,2020-12-17,PSLV-C50/CMS-01,GSO (Geosynchronous Orbit),Communication,Launch successful
112,EOS-03,2021-08-12,GSLV-F10 / EOS-03 Mission,GTO (Geosynchronous Transfer Orbit),Earth Observation,Launch unsuccessful
113,EOS-04,2022-02-14,PSLV-C52/EOS-04 Mission,No Data,Earth Observation,Launch successful
114,INS-2TD,2022-02-14,PSLV-C52/EOS-04 Mission,No Data,Experimental,Launch successful
115,GSAT-24,2022-06-23,Ariane-V(VS257),GSO (Geosynchronous Orbit),Communication,Launch successful
116,EOS-02,2022-08-07,SSLV-D1/EOS-02 Mission,No Data,Earth Observation,Launch successful
117,EOS-06,2022-11-26,PSLV-C54/EOS-06 Mission,No Data,Earth Observation,Launch successful
118,INS-2B,2022-11-26,PSLV-C54/EOS-06 Mission,No Data,Earth Observation,Launch successful
119,Anand,2022-11-26,PSLV-C54/EOS-06 Mission,No Data,Earth Observation,Launch successful
120,Thybolt,2022-11-26,PSLV-C54/EOS-06 Mission,No Data,Earth Observation,Launch successful
121,Thybolt,2022-11-26,PSLV-C54/EOS-06 Mission,No Data,Earth Observation,Launch successful
122,EOS-07,2023-02-10,SSLV-D2/EOS-07 Mission,No Data,Earth Observation,Launch successful
123,NVS-01,2023-05-29,GSLV-F12/NVS-01 Mission,No Data,Navigation,Launch successful
124,Chandrayaan-3,2023-07-14,LVM3 M4 / Chandrayaan-3 Mission,Lunar,Planetary Observation,Launch successful
125,Aditya-L1,2023-09-02,PSLV-C57/Aditya-L1 Mission,Lunar,Planetary Observation,Launch successful
126,Proba-3 (ESA),2024-12-05,PSLV-C59/Proba-3 Mission,HEO(High Elliptical Orbit),Formation Flying(Technology Demonstration),Launch successful
127,"SPADEX, POEM-4",2025-12-30,"PSLV-C60,SPADEX,POEM-4 Mission",LEO (Low Earth Orbit),In-orbit Docking Experiment,Launch successful
128,NVS-02(NavIC Series),2025-01-29,GSLV-F15/NVS-02 Mission,GTO (Geosynchronous Transfer Orbit),Navigation,Launch successful
129,EOS-09,2025-05-18,PSLV-C61/EOS-09 Mission,SSO (Sun Synchronous Orbit),Earth Observation,Launch successful
130,NISAR(NASA-ISRO),2025-07-30,GSLV-F16/NISAR Mission,SSO (Sun Synchronous Orbit),Earth Observation(Radar),Launch successful
